scope,direction,metric,value,status,details,checkpoint_sha256,data_manifest_sha256
training,G_photo_to_monet,gradient_norms_final_update,27.82697868347168,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,G_monet_to_photo,gradient_norms_mean,26.440820007318003,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,G_monet_to_photo,gradient_norms_final_update,21.644256591796875,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,D_photo,gradient_norms_mean,12.546409829540973,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,D_photo,gradient_norms_final_update,7.546853065490723,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,D_monet,gradient_norms_mean,10.351199306454024,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,D_monet,gradient_norms_final_update,12.10079288482666,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
hardware,both,gpu,NVIDIA GeForce RTX 5090,recorded,"{""source"": ""Training provenance; never the publisher's current machine""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
hardware,both,cpu,,unavailable,"{""source"": ""Training provenance; never the publisher's current machine""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
hardware,both,platform,Linux-5.15.0-191-generic-x86_64-with-glibc2.39,recorded,"{""source"": ""Training provenance; never the publisher's current machine""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
